Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
1,Genetics,12-16-2024,2:30PM-5:00PM,KUPF,210,Nelson,BIOL,352
1,Molecular Biology,12-19-2024,8:30AM-11:00AM,FMH,405,Konsolaki,BIOL,356
1,Neural Basis Of Behavior,12-18-2024,8:30AM-11:00AM,CKB,207,Haspel,BIOL,383
1,Neurophysiology,12-19-2024,8:30AM-11:00AM,FMH,407,Bucher,BIOL,441
HM1,Neurophysiology,12-19-2024,8:30AM-11:00AM,FMH,407,Bucher,BIOL,441
1,Biol Addiction,12-18-2024,2:30PM-5:00PM,CKB,313,Nadim,BIOL,443
1,Neuropathophysiology,12-16-2024,2:30PM-5:00PM,FMH,403,Desai,BIOL,448
H01,Disease Ecology & Evolution,12-20-2024,2:30PM-5:00PM,CKB,310,Russell,BIOL,468
H01,Ecological Field Methods,12-17-2024,2:30PM-5:00PM,CKB,212,Stanko,BIOL,475
H01,Evol of Animal Behavior Lab,12-18-2024,8:30AM-11:00AM,FMH,110,Devan,BIOL,484
101,Special Topics in Biology,12-19-2024,6:00PM-8:30PM,KUPF,210,Sanchez,BIOL,498
103,Special Topics in Biology,12-19-2024,6:00PM-8:30PM,KUPF,210,Sanchez,BIOL,498
1,Cellular Neurophysiology,12-19-2024,8:30AM-11:00AM,FMH,407,Bucher,BIOL,640
1,Biology of Addiction,12-18-2024,2:30PM-5:00PM,CKB,313,Nadim,BIOL,643
1,Neuropathology,12-16-2024,2:30PM-5:00PM,FMH,403,Desai,BIOL,648
101,Human Anatomy,12-19-2024,6:00PM-8:30PM,KUPF,210,Sanchez,BIOL,650
1,Evolutionary Medicine,12-20-2024,2:30PM-5:00PM,CKB,310,Russell,BIOL,668
3,Introduction to Physiology,12-16-2024,11:30AM-2:00PM,CKB,226,Aqeel,BME,111
1,Processing Fund for Biol Signa,12-16-2024,2:30PM-5:00PM,FENS,636,Alvarez,BME,210
3,Processing Fund for Biol Signa,12-16-2024,2:30PM-5:00PM,FENS,640,Di,BME,210
1,Intro Biomedical Engineering I,12-19-2024,11:30AM-2:00PM,KUPF,108,Schesser,BME,301
3,Intro Biomedical Engineering I,12-19-2024,11:30AM-2:00PM,KUPF,108,Schesser,BME,301
HM1,Intro Biomedical Engineering I,12-19-2024,11:30AM-2:00PM,KUPF,108,Schesser,BME,301
1,Bio & Chemical Found Of Bme,12-20-2024,8:30AM-11:00AM,FMH,408,Buffone,BME,303
101,Material Fundamentals of BME,12-17-2024,6:00PM-8:30PM,ECEC,115,Oni,BME,304
HM1,Material Fundamentals of BME,12-17-2024,6:00PM-8:30PM,ECEC,115,Oni,BME,304
1,Adv Mechanics for Biomed Engr,12-19-2024,8:30AM-11:00AM,CKB,206,Zhou,BME,321
1,Biomedical Signals And Systems,12-17-2024,2:30PM-5:00PM,MALL,PC37,Kallioniemi,BME,333
1,Bioinstrumentation Laboratory,12-20-2024,2:30PM-5:00PM,FMH,403,Sahin,BME,386
103,Adv Biomaterials Science,12-16-2024,6:00PM-8:30PM,CKB,215,Chattaraj,BME,420
1,Biomaterials Characterization,12-18-2024,2:30PM-5:00PM,FMH,319,Jaffe,BME,422
1,Fund Of Tissue Engineering,12-19-2024,2:30PM-5:00PM,FMH,313,Grasman,BME,430
1,Biomechanics I,12-17-2024,2:30PM-5:00PM,CULM,111,Son,BME,451
101,Principles of Medical Imaging,12-19-2024,6:00PM-8:30PM,FENS,698,Biswal,BME,471
101,FDA Regulation Medical Devices,12-17-2024,6:00PM-8:30PM,CKB,313,Moodey,BME,472
1,Capstone I,12-16-2024,2:30PM-5:00PM,KUPF,205,Collins,BME,495
3,Capstone I,12-16-2024,2:30PM-5:00PM,KUPF,205,Collins,BME,495
HM1,Capstone I,12-16-2024,2:30PM-5:00PM,FMH,313,Schesser,BME,495
HM3,Capstone I,12-16-2024,2:30PM-5:00PM,FMH,313,Schesser,BME,495
1,Capstone Design II,12-20-2024,2:30PM-5:00PM,CKB,219,Schesser,BME,496
