Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
101,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Le,CS,100
H01,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Spirollari,CS,100
H03,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Islam,CS,100
H05,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Dale,CS,100
H07,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Spirollari,CS,100
H09,Roadmap To Computing,12-21-2024,9:00AM-11:30AM,Please see instructor for location.,NULL,Renda,CS,100
1,Comput Sci-Business Prob,12-20-2024,8:30AM-11:00AM,CKB,106,Pethkar,CS,103
3,Comput Sci-Business Prob,12-20-2024,8:30AM-11:00AM,CKB,106,Pethkar,CS,103
1,Intro to Computing,12-20-2024,8:30AM-11:00AM,WEST,LECT 1,Nemane,CS,106
3,Intro to Computing,12-20-2024,8:30AM-11:00AM,WEST,LECT 1,Nemane,CS,106
5,Intro to Computing,12-20-2024,8:30AM-11:00AM,WEST,LECT 1,Nemane,CS,106
9,Intro to Computing,12-20-2024,8:30AM-11:00AM,WEST,LECT 1,Nemane,CS,106
1,Intro Computer Sci I,12-21-2024,12:00PM-2:30PM,Please see instructor for location.,NULL,Spirollari,CS,113
3,Intro Computer Sci I,12-21-2024,12:00PM-2:30PM,Please see instructor for location.,NULL,Spirollari,CS,113
101,Intro Computer Sci I,12-21-2024,12:00PM-2:30PM,Please see instructor for location.,NULL,Soltis,CS,113
103,Intro Computer Sci I,12-21-2024,12:00PM-2:30PM,Please see instructor for location.,NULL,Estes,CS,113
105,Intro Computer Sci I,12-21-2024,12:00PM-2:30PM,Please see instructor for location.,NULL,Estes,CS,113
1,Intro Computer Sci II,12-20-2024,2:30PM-5:00PM,KUPF,117,Kapleau,CS,114
3,Intro Computer Sci II,12-20-2024,2:30PM-5:00PM,KUPF,117,Kapleau,CS,114
5,Intro Computer Sci II,12-20-2024,2:30PM-5:00PM,KUPF,211,Kapleau,CS,114
7,Intro Computer Sci II,12-16-2024,11:30AM-2:00PM,CULM,LECT 1,Calvin,CS,114
9,Intro Computer Sci II,12-20-2024,2:30PM-5:00PM,KUPF,118,Kapleau,CS,114
11,Intro Computer Sci II,12-20-2024,2:30PM-5:00PM,KUPF,118,Kapleau,CS,114
13,Intro Computer Sci II,12-16-2024,11:30AM-2:00PM,GITC,1400,Zaidenberg,CS,114
15,Intro Computer Sci II,12-16-2024,11:30AM-2:00PM,GITC,1400,Zaidenberg,CS,114
H01,Intro Computer Sci II,12-20-2024,11:30AM-2:00PM,CULM,110,Kapleau,CS,114
H03,Intro Computer Sci II,12-16-2024,11:30AM-2:00PM,CULM,LECT 1,Calvin,CS,114
1,Intro to Comp Science I in C++,12-20-2024,8:30AM-11:00AM,CKB,217,Wu,CS,115
3,Intro to Comp Science I in C++,12-20-2024,8:30AM-11:00AM,CKB,217,Wu,CS,115
1,Intro To Comp Sci II C++,12-17-2024,11:30AM-2:00PM,ME,224,Wu,CS,116
3,Intro To Comp Sci II C++,12-17-2024,11:30AM-2:00PM,ME,224,Wu,CS,116
3,Foundations of Comp Science I,12-19-2024,11:30AM-2:00PM,GITC,1100,Zaidenberg,CS,241
5,Foundations of Comp Science I,12-19-2024,11:30AM-2:00PM,GITC,1100,Zaidenberg,CS,241
1,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,206,Arafeh,CS,280
5,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,203,Arafeh,CS,280
7,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,204,Arafeh,CS,280
9,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,207,Arafeh,CS,280
11,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,211,Arafeh,CS,280
13,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,211,Arafeh,CS,280
15,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,208,Arafeh,CS,280
17,Programming Lang Concepts,12-16-2024,11:30AM-2:00PM,KUPF,202,Arafeh,CS,280
101,Programming Lang Concepts,12-17-2024,6:00PM-8:30PM,KUPF,204,Haroon,CS,280
1,Intensive Programming in Linux,12-16-2024,2:30PM-5:00PM,TIER,LECT 1,Itani,CS,288
3,Intensive Programming in Linux,12-16-2024,2:30PM-5:00PM,TIER,LECT 1,Itani,CS,288
5,Intensive Programming in Linux,12-16-2024,2:30PM-5:00PM,TIER,LECT 1,Itani,CS,288
7,Intensive Programming in Linux,12-16-2024,11:30AM-2:00PM,CKB,303,Dale,CS,288
9,Intensive Programming in Linux,12-16-2024,11:30AM-2:00PM,CKB,303,Dale,CS,288
101,Intensive Programming in Linux,12-16-2024,6:00PM-8:30PM,TIER,LECT 2,Dale,CS,288
103,Intensive Programming in Linux,12-16-2024,6:00PM-8:30PM,TIER,LECT 2,Dale,CS,288
H01,Intensive Programming in Linux,12-16-2024,11:30AM-2:00PM,CKB,220,Ding,CS,288
1,Introduction to Data Science,12-17-2024,2:30PM-5:00PM,GITC,1400,Renda,CS,301
3,Introduction to Data Science,12-17-2024,2:30PM-5:00PM,GITC,1400,Renda,CS,301
101,Introduction to Data Science,12-17-2024,6:00PM-8:30PM,GITC,1400,Islam,CS,301
103,Introduction to Data Science,12-19-2024,6:00PM-8:30PM,KUPF,206,Islam,CS,301
1,Database System Design & Mgmt,12-17-2024,11:30AM-2:00PM,KUPF,211,Yusuf,CS,331
5,Database System Design & Mgmt,12-19-2024,2:30PM-5:00PM,KUPF,117,Renda,CS,331
7,Database System Design & Mgmt,12-17-2024,11:30AM-2:00PM,GITC,1400,Eren,CS,331
9,Database System Design & Mgmt,12-19-2024,2:30PM-5:00PM,KUPF,117,Renda,CS,331
11,Database System Design & Mgmt,12-17-2024,11:30AM-2:00PM,KUPF,211,Yusuf,CS,331
H01,Database System Design & Mgmt,12-18-2024,8:30AM-11:00AM,CKB,223,Sharma,CS,331
5,Principles Of Oper Sys,12-19-2024,2:30PM-5:00PM,GITC,1100,Naik,CS,332
7,Principles Of Oper Sys,12-19-2024,2:30PM-5:00PM,GITC,1100,Naik,CS,332
101,Principles Of Oper Sys,12-17-2024,6:00PM-8:30PM,KUPF,107,Naik,CS,332
103,Principles Of Oper Sys,12-18-2024,6:00PM-8:30PM,GITC,1100,Gerbessiotis,CS,332
1,Performance Modeling in Comput,12-20-2024,8:30AM-11:00AM,ME,224,Calvin,CS,337
3,Found of Computer Science II,12-17-2024,8:30AM-11:00AM,GITC,1100,Kair,CS,341
5,Found of Computer Science II,12-17-2024,8:30AM-11:00AM,GITC,1100,Kair,CS,341
1,Intro to Computer Systems,12-16-2024,8:30AM-11:00AM,WEST,LECT 2,Itani,CS,350
3,Intro to Computer Systems,12-16-2024,8:30AM-11:00AM,WEST,LECT 2,Itani,CS,350
5,Intro to Computer Systems,12-20-2024,11:30AM-2:00PM,TIER,LECT 1,Sohn,CS,350
7,Intro to Computer Systems,12-19-2024,2:30PM-5:00PM,KUPF,106,Sohn,CS,350
1,Introduction to Cybersecurity,12-20-2024,2:30PM-5:00PM,GITC,1400,Raza,CS,351
3,Introduction to Cybersecurity,12-18-2024,11:30AM-2:00PM,CULM,LECT 2,Hamidli,CS,351
5,Introduction to Cybersecurity,12-20-2024,2:30PM-5:00PM,GITC,1400,Raza,CS,351
1,Intro To Computer Networks,12-18-2024,11:30AM-2:00PM,CKB,303,Raza,CS,356
3,Intro To Computer Networks,12-18-2024,11:30AM-2:00PM,KUPF,209,Berenjian,CS,356
103,Intro To Computer Networks,12-19-2024,6:00PM-8:30PM,TIER,LECT 1,Raza,CS,356
101,Intro to Artifcl Intellgnce,12-16-2024,6:00PM-8:30PM,CKB,303,Monogioudis,CS,370
H01,Intro to Artifcl Intellgnce,12-18-2024,6:00PM-8:30PM,KUPF,118,Monogioudis,CS,370
H01,Intro To Machine Learning,12-19-2024,8:30AM-11:00AM,CKB,310,Wang,CS,375
1,Cryptography & Internet Secrty,12-19-2024,2:30PM-5:00PM,CKB,314,Hamidli,CS,408
1,Advanced Database Systems,12-17-2024,11:30AM-2:00PM,GITC,1400,Eren,CS,434
3,Adv Data Struct-Alg Des,12-16-2024,2:30PM-5:00PM,CULM,LECT 2,Nassimi,CS,435
5,Adv Data Struct-Alg Des,12-16-2024,2:30PM-5:00PM,CKB,303,Nassimi,CS,435
101,Big Data Systems,12-16-2024,6:00PM-8:30PM,KUPF,209,Wu,CS,444
101,Data Visualization,12-18-2024,6:00PM-8:30PM,CULM,LECT 2,Islam,CS,450
101,Data Mining,12-19-2024,6:00PM-8:30PM,KUPF,202,Bakhshaliyev,CS,482
7,Selected Topics In CS,12-17-2024,2:30PM-5:00PM,CKB,341,Malkin,CS,485
1,Design in Software Engr,12-16-2024,11:30AM-2:00PM,GITC,1100,Kellogg,CS,490
101,Computer Science Project,12-17-2024,6:00PM-8:30PM,WEST,LECT 1,Eljabiri,CS,491
103,Computer Science Project,12-19-2024,6:00PM-8:30PM,WEST,LECT 1,Eljabiri,CS,491
HM1,Computer Science Project,12-17-2024,6:00PM-8:30PM,WEST,LECT 1,Eljabiri,CS,491
HM3,Computer Science Project,12-19-2024,6:00PM-8:30PM,WEST,LECT 1,Eljabiri,CS,491
851,Found Computer Science,12-16-2024,6:00PM-8:30PM,Online,NULL,Kapoor,CS,506
1,Data Structure & ALG,12-18-2024,8:30AM-11:00AM,GITC ,1100,Eskandari,CS,610
3,Data Structure & ALG,12-17-2024,11:30AM-2:00PM,CKB,226,Gerbessiotis,CS,610
853,Data Structure & ALG,12-17-2024,6:00PM-8:30PM,Online,NULL,Eskandari,CS,610
101,Java Programming,12-19-2024,6:00PM-8:30PM,KUPF,117,Siddique,CS,602
103,Java Programming,12-21-2024,9:00AM-11:30AM,CKB,124,Siddique,CS,602
851,Java Programming,12-15-2024,6:00PM-8:30PM,Online,NULL,Siddique,CS,602
101,Cryptography & Security,12-18-2024,6:00PM-8:30PM,Jersey City,NULL,Hamidli,CS,608
1J1,Cryptography & Security,12-19-2024,6:00PM-8:30PM,CKB,204,Hamidli,CS,608
851,Cryptography & Security,12-21-2024,6:00PM-8:30PM,Online,NULL,Hamidli,CS,608
853,Cryptography & Security,12-21-2024,6:00PM-8:30PM,Online,NULL,Hamidli,CS,608
1J1,Data Structure & ALG,12-19-2024,6:00PM-8:30PM,Jersey City,NULL,Eskandari,CS,610
3,Operating Systems Design,12-19-2024,11:30AM-2:00PM,CKB,303,Lay,CS,630
5,Operating Systems Design,12-19-2024,11:30AM-2:00PM,CKB,303,Lay,CS,630
1J1,Operating Systems Design,12-20-2024,6:00PM-8:30PM,Jersey City,NULL,Naik,CS,630
851,Operating Systems Design,12-16-2024,6:00PM-8:30PM,Online,NULL,Naik,CS,630
853,Operating Systems Design,12-19-2024,6:00PM-8:30PM,Online,NULL,Lay,CS,630
3,Data Mgt Systems Design,12-16-2024,8:30AM-11:00AM,CKB,320,Sharma,CS,631
5,Data Mgt Systems Design,12-16-2024,2:30PM-5:00PM,CULM,LECT 3,Theodoratos,CS,631
7,Data Mgt Systems Design,12-16-2024,2:30PM-5:00PM,CULM,LECT 3,Theodoratos,CS,631
1,Adv Database Sys Design,12-17-2024,11:30AM-2:00PM,KUPF,209,Geller,CS,632
101,Data Mining,12-19-2024,6:00PM-8:30PM,GITC,1100,Abduallah,CS,634
853,Data Mining,12-19-2024,6:00PM-8:30PM,Online,NULL,Wang,CS,634
101,Security & Privacy in Comp Sys,12-20-2024,6:00PM-8:30PM,FMH,213,Shi,CS,645
1J1,Security & Privacy in Comp Sys,12-21-2024,3:00PM-5:30PM,Jersey City,NULL,Curtmola,CS,645
851,Security & Privacy in Comp Sys,12-17-2024,6:00PM-8:30PM,,NULL,Hamidli,CS,645
853,Security & Privacy in Comp Sys,12-21-2024,3:00PM-5:30PM,Online,NULL,Curtmola,CS,645
1J1,Network Protocols Security,12-16-2024,6:00PM-8:30PM,Jersey City,NULL,Raza,CS,646
851,Counter Hacking Techniques,12-21-2024,6:00PM-8:30PM,FMH,407,Martin,CS,647
853,Counter Hacking Techniques,12-20-2024,6:00PM-8:30PM,CKB,214,Martin,CS,647
3,Intrnet&Higher Layer Pro,12-18-2024,2:30PM-5:00PM,TIER,113,Berenjian,CS,656
1,Artificial Intelligence,12-18-2024,11:30AM-2:00PM,TIER,113,Liu,CS,670
3,Artificial Intelligence,12-18-2024,11:30AM-2:00PM,TIER,LECT 1,Kaur,CS,670
851,Artificial Intelligence,12-18-2024,6:00PM-8:30PM,Online,NULL,Kaur,CS,670
853,Artificial Intelligence,12-21-2024,3:00PM-5:30PM,Online,NULL,Kaur,CS,670
855,Artificial Intelligence,12-17-2024,6:00PM-8:30PM,Online,NULL,Liu,CS,670
101,Software Des & Prod Meth,12-18-2024,6:00PM-8:30PM,GITC,4402,Vaish,CS,673
101,Software Project Management,12-18-2024,6:00PM-8:30PM,KUPF,211,Naik,CS,683
1,Network Mgmt & Security,12-16-2024,8:30AM-11:00AM,CKB,207,Berenjian,CS,696
851,Network Mgmt & Security,12-19-2024,6:00PM-8:30PM,Online,NULL,Berenjian,CS,696
1,Fund and Prin of DS,12-18-2024,8:30AM-11:00AM,CULM,111,Bhavsar,DS,340
3,Introduction to Big Data,12-16-2024,11:30AM-2:00PM,FMH,411,Wang,DS,644
1,Data Analytics with R Program,12-16-2024,8:30AM-11:00AM,CKB,204,Li,DS,636
101,Data Analytics with R Program,12-19-2024,6:00PM-8:30PM,KUPF,108,Bhavsar,DS,636
103,Data Analytics with R Program,12-20-2024,6:00PM-8:30PM,ECEC,100,Bhavsar,DS,636
105,Data Analytics with R Program,12-17-2024,6:00PM-8:30PM,FMH,108,Bhavsar,DS,636
851,Data Analytics with R Program,12-21-2024,12:00PM-2:30PM,Online,NULL,Li,DS,636
853,Data Analytics with R Program,12-21-2024,12:00PM-2:30PM,Online,NULL,Li,DS,636
101,Python and Mathematics,12-19-2024,6:00PM-8:30PM,TIER,LECT 1,Li,DS,637
1J1,Reinforcement Learning,12-18-2024,6:00PM-8:30PM,Jersey City,NULL,Li,DS,669
1,Machine Learning,12-20-2024,11:30AM-2:00PM,WEST,LECT 1,Bakhshaliyev,DS,675
3,Machine Learning,12-20-2024,11:30AM-2:00PM,WEST,LECT 1,Bakhshaliyev,DS,675
5,Machine Learning,12-20-2024,11:30AM-2:00PM,WEST,LECT 1,Bakhshaliyev,DS,675
101,Machine Learning,12-20-2024,6:00PM-8:30PM,CKB,217,Bakhshaliyev,DS,675
851,Machine Learning,12-16-2024,6:00PM-8:30PM,Online,NULL,Houle,DS,675
853,Machine Learning,12-21-2024,6:00PM-8:30PM,Online,NULL,Houle,DS,675
855,Machine Learning,12-16-2024,6:00PM-8:30PM,Online,NULL,Houle,DS,675
3,Deep Learning,12-19-2024,2:30PM-5:00PM,CULM,LECT 3,Phan,DS,677
5,Deep Learning,12-19-2024,2:30PM-5:00PM,CULM,LECT 2,Xu,DS,677
1J1,Natural Language Processing,12-17-2024,6:00PM-8:30PM,Jersey City,NULL,Du,DS,680
1,Circuits & Systems I,12-19-2024,2:30PM-5:00PM,KUPF,210,Manzhura,ECE,231
101,Circuits & Systems I,12-19-2024,6:00PM-8:30PM,ECEC,115,Manzhura,ECE,231
HM1,Circuits & Systems I,12-19-2024,2:30PM-5:00PM,KUPF,210,Manzhura,ECE,231
1,Circuits & Systems II,12-20-2024,8:30AM-11:00AM,ME,221,Taylor,ECE,232
101,Circuits & Systems II,12-20-2024,6:00PM-8:30PM,ECEC,115,Balguvhar,ECE,232
HM1,Circuits & Systems II,12-20-2024,8:30AM-11:00AM,ME,221,Taylor,ECE,232
1,Digital Design,12-17-2024,8:30AM-11:00AM,KUPF,210,Savir,ECE,251
3,Digital Design,12-17-2024,8:30AM-11:00AM,KUPF,210,Savir,ECE,251
101,Digital Design,12-17-2024,6:00PM-8:30PM,ECEC,100,Yousef,ECE,251
101,Microprocessors,12-18-2024,6:00PM-8:30PM,ECEC,100,Bhavnagarwala,ECE,252
1,Electronic Circuits I,12-16-2024,2:30PM-5:00PM,CULM,110,Walker-Soler,ECE,271
101,Electronic Circuits I,12-16-2024,6:00PM-8:30PM,FMH,207,Walker-Soler,ECE,271
HM1,Electronic Circuits I,12-16-2024,2:30PM-5:00PM,CULM,110,Walker-Soler,ECE,271
101,Random Signals and Noise,12-18-2024,6:00PM-8:30PM,KUPF,208,Akansu,ECE,321
1,Signals & Systems,12-17-2024,8:30AM-11:00AM,CKB,223,Ge,ECE,333
1,Energy Conversion,12-19-2024,2:30PM-5:00PM,KUPF,209,Raj,ECE,342
1,Computer Arch & Organization,12-17-2024,8:30AM-11:00AM,KUPF,209,Carpinelli,ECE,353
101,Electromag Fields,12-19-2024,6:00PM-8:30PM,CULM,110,Balguvhar,ECE,361
101,Signal Transmission,12-16-2024,6:00PM-8:30PM,TIER,LECT 1,Grebel,ECE,368
1,Electronic Circuits Design,12-20-2024,2:30PM-5:00PM,KUPF,105,Feknous,ECE,371
HM1,Electronic Circuits Design,12-20-2024,2:30PM-5:00PM,KUPF,105,Feknous,ECE,371
1,Introduction to Semiconductors,12-16-2024,2:30PM-5:00PM,CKB,212,Tsybeskov,ECE,375
1,Applied Machine Learning,12-18-2024,11:30AM-2:00PM,CULM,LECT 1,Han,ECE,381
1,Elec Engr Principles,12-17-2024,2:30PM-5:00PM,KUPF,117,Hubbi,ECE,405
1,Elec Engr Principles,12-17-2024,2:30PM-5:00PM,KUPF,118,Hubbi,ECE,405
1,Elec Engr Principles,12-17-2024,2:30PM-5:00PM,KUPF,211,Hubbi,ECE,405
101,Digital Data Communication,12-19-2024,6:00PM-8:30PM,FMH,207,Kam,ECE,421
1,Computer Comm Networks,12-17-2024,2:30PM-5:00PM,KUPF,204,Feknous,ECE,422
1,Wireless Communication Systems,12-19-2024,2:30PM-5:00PM,CKB,341,Haimovich,ECE,425
1,Intro to Feedback Control Syst,12-20-2024,2:30PM-5:00PM,CULM,110,Wang,ECE,431
1,Power Systems,12-19-2024,8:30AM-11:00AM,CKB,212,Hubbi,ECE,442
101,Power Systems Laboratory,12-18-2024,6:00PM-8:30PM,FMH,109,Raj,ECE,449
1,Advanced Computer Architecture,12-16-2024,2:30PM-5:00PM,KUPF,207,Angizi,ECE,451
101,Intro Discrete Event Sys,12-17-2024,6:00PM-8:30PM,FMH,408,Guo,ECE,453
1,High-Speed Electronic Devices,12-19-2024,2:30PM-5:00PM,FMH,404,Grebel,ECE,461
1,Comp Engineer Design Lab,12-16-2024,8:30AM-11:00AM,KUPF,106,Hou,ECE,495
3,Comp Engineer Design Lab,12-16-2024,8:30AM-11:00AM,KUPF,106,Hou,ECE,495
101,Linear Systems,12-16-2024,6:00PM-8:30PM,FMH,110,Ghosh,ECE,601
101,Power Syst Steady State Anlys,12-17-2024,6:00PM-8:30PM,CKB,106,Hubbi,ECE,610
101,Intelligent Sensing for Smart,12-18-2024,6:00PM-8:30PM,FMH,407,Pong,ECE,619
1,Lab for High Performance DSP,12-17-2024,2:30PM-5:00PM,FMH,305,Akansu,ECE,641
1,Wireless Communications,12-19-2024,2:30PM-5:00PM,CKB,341,Haimovich,ECE,644
101,Semiconductor  Devices,12-18-2024,6:00PM-8:30PM,FMH,321,Ko,ECE,657
101,VLSI Design I,12-19-2024,6:00PM-8:30PM,FMH,407,Misra,ECE,658
101,Random Signal Analysis,12-20-2024,6:00PM-8:30PM,KUPF,209,Abdi,ECE,673
101,Cloud IoT Network & Security,12-19-2024,6:00PM-8:30PM,CULM,LECT 3,Khreishah,ECE,683
101,Adv Microprocessor Systems,12-20-2024,6:00PM-8:30PM,CKB,313,Walker-Soler,ECE,684
103,ST:,12-19-2024,6:00PM-8:30PM,FMH,307,Liu,ECE,788
1,Circuits I,12-17-2024,11:30AM-2:00PM,FMH,405,Reaves,ECET,201
3,Circuits I,12-17-2024,11:30AM-2:00PM,CKB,310,Shekhar,ECET,201
101,Circuits I,12-20-2024,6:00PM-8:30PM,FMH,204A,Ghrayeb,ECET,201
1,Circuits II,12-16-2024,2:30PM-5:00PM,CKB,207,Kayzman,ECET,202
101,Circuits II,12-19-2024,6:00PM-8:30PM,FMH,314,Vincent,ECET,202
101,Analog Electronics,12-19-2024,6:00PM-8:30PM,FMH,403,Park,ECET,205
101,Intro to Communication Systems,12-18-2024,6:00PM-8:30PM,FMH,106,Pepe,ECET,214
103,Intro to Communication Systems,12-16-2024,6:00PM-8:30PM,FMH,403,Rabie,ECET,214
1,Intro To Digital Electronics,12-20-2024,11:30AM-2:00PM,FMH,405,Rabie,ECET,215
101,Intro To Digital Electronics,12-19-2024,6:00PM-8:30PM,FMH,203,Ghrayeb,ECET,215
451,Circuit Analysis,12-21-2024,3:00PM-5:30PM,Online,NULL,Rockland,ECET,300
101,Circuit Measurements I,12-18-2024,6:00PM-8:30PM,FMH,403,Rabie,ECET,303
3,Integrated Circuit Applctns,12-18-2024,11:30AM-2:00PM,CKB,207,Rabie,ECET,305
101,Integrated Circuit Applctns,12-17-2024,6:00PM-8:30PM,FMH,403,Rabie,ECET,305
101,Embedded Systems I,12-16-2024,6:00PM-8:30PM,GITC,1404,Awad,ECET,311
103,Embedded Systems I,12-16-2024,6:00PM-8:30PM,GITC,2308,Otaryan,ECET,311
1,Analog Digital Elect Non Maj,12-16-2024,8:30AM-11:00AM,CKB,215,De La Cruz,ECET,329
101,Analog Digital Elect Non Maj,12-19-2024,6:00PM-8:30PM,FMH,404,De La Cruz,ECET,329
1,Numerical Comp Engr Tech,12-18-2024,2:30PM-5:00PM,CKB,310,Amboise,ECET,344
101,Numerical Comp Engr Tech,12-19-2024,6:00PM-8:30PM,GITC,2308,Amboise,ECET,344
102,Computrzed Industrl Controls,12-19-2024,6:00PM-8:30PM,GITC,2310,Vanderbilt,ECET,350
101,Digital Logic & Circuit Design,12-20-2024,6:00PM-8:30PM,CKB,226,Bokhari,ECET,365
101,Senior Project,12-16-2024,6:00PM-8:30PM,FMH,411,Blinder,ECET,400
101,Embedded Systems II,12-18-2024,6:00PM-8:30PM,GITC,2308,Azizi,ECET,411
101,Power Generation & Distrbtn,12-17-2024,6:00PM-8:30PM,FMH,404,Vincent,ECET,412
101,Fund of Network Communication,12-17-2024,6:00PM-8:30PM,GITC,2308,Vanderbilt,ECET,415
1,Electronics Manufacturing,12-19-2024,2:30PM-5:00PM,CKB,220,Hansis,ECET,430
1,Economics,12-18-2024,11:30AM-2:00PM,TIER,LECT 2,Bonitsis,ECON,201
3,Economics,12-18-2024,11:30AM-2:00PM,TIER,LECT 2,Bonitsis,ECON,201
101,Economics,12-16-2024,6:00PM-8:30PM,GITC,1100,Bonitsis,ECON,201
103,Economics,12-16-2024,6:00PM-8:30PM,GITC,1100,Bonitsis,ECON,201
451,Economics,12-21-2024,6:00PM-8:30PM,Online,NULL,Bonitsis,ECON,201
453,Economics,12-21-2024,12:00PM-2:30PM,Online,NULL,Chou,ECON,201
1,Microeconomics,12-17-2024,2:30PM-5:00PM,TIER,111,Chou,ECON,265
451,Microeconomics,12-21-2024,9:00AM-11:30AM,Online,NULL,Chou,ECON,265
453,Microeconomics,12-18-2024,6:00PM-8:30PM,Online,NULL,Bataille,ECON,265
455,Microeconomics,12-17-2024,6:00PM-8:30PM,Online,NULL,Chou,ECON,265
101,Macroeconomics,12-18-2024,6:00PM-8:30PM,KUPF,104,Chou,ECON,266
451,Macroeconomics,12-20-2024,6:00PM-8:30PM,Online,NULL,Bataille,ECON,266
101,Management Science,12-19-2024,6:00PM-8:30PM,ME,221,Abdel-Malek,EM,602
101,Legal Aspcts Of Hlt Sfty,12-17-2024,6:00PM-8:30PM,CKB,317,Kothari,EM,633
101,Project Management,12-18-2024,6:00PM-8:30PM,KUPF,117,Zoppi,EM,636
103,Project Management,12-18-2024,6:00PM-8:30PM,KUPF,117,Zoppi,EM,636
1,Intro To Environmental Engr,12-16-2024,2:30PM-5:00PM,CULM,111,Schorr,ENE,262
101,Intro To Environmental Engr,12-17-2024,6:00PM-8:30PM,CULM,111,Zhang,ENE,262
101,Water & Wastewater Engineering,12-18-2024,6:00PM-8:30PM,CKB,126,Venkatesan,ENE,360
851,Site Remediation,12-21-2024,6:00PM-8:30PM,Online,NULL,Coler,ENE,662
101,Phys & Chem Treatment,12-16-2024,6:00PM-8:30PM,CULM,LECT 3,Pennock,ENE,664
101,Stormwater Management,12-18-2024,6:00PM-8:30PM,CKB,214,Boufadel,ENE,672
1,Analytical Meth for Engr Appl,12-20-2024,8:30AM-11:00AM,GITC,1400,Lubliner,ENGR,101
3,Analytical Meth for Engr Appl,12-20-2024,8:30AM-11:00AM,GITC,1400,Lubliner,ENGR,101
5,Analytical Meth for Engr Appl,12-20-2024,8:30AM-11:00AM,GITC,1400,Lubliner,ENGR,101
9,Analytical Meth for Engr Appl,12-20-2024,8:30AM-11:00AM,GITC,1400,Lubliner,ENGR,101
101,Prototyping Essentials,12-17-2024,6:00PM-8:30PM,GITC,1404,Brateris,ENGR,320
103,Prototyping Essentials,12-19-2024,6:00PM-8:30PM,GITC,1404,Sosa,ENGR,320
103,Appl of Microcontrollers & IoT,12-16-2024,6:00PM-8:30PM,MALL,PC36,Patel,ENGR,330
101,IP for Engineers,12-17-2024,6:00PM-8:30PM,MALL,PC40,Canonaco,ENGR,350
1,Intro to Entrepreneurship,12-16-2024,8:30AM-11:00AM,CKB,314,Zhang,ENTR,210
101,Intro to Entrepreneurship,12-17-2024,6:00PM-8:30PM,KUPF,105,Zhang,ENTR,210
451,Intro to Entrepreneurship,12-21-2024,6:00PM-8:30PM,Online,NULL,Zhang,ENTR,210
453,Intro to Entrepreneurship,12-21-2024,12:00PM-2:30PM,Online,NULL,Madda,ENTR,210
101,Society Techn & Environmnt,12-17-2024,6:00PM-8:30PM,KUPF,209,Shrestha,EPS,202
451,Society Techn & Environmnt,12-18-2024,6:00PM-8:30PM,Online,NULL,Bonchonsky,EPS,202
HM1,Society Techn & Environmnt,12-17-2024,6:00PM-8:30PM,KUPF,209,Shrestha,EPS,202
1,Environmental Law,12-18-2024,11:30AM-2:00PM,CKB,114,Bonchonsky,EVSC,335
1,Environmental Microbiology,12-20-2024,2:30PM-5:00PM,TIER,106,Li,EVSC,385
101,Environmental Analysis,12-16-2024,6:00PM-8:30PM,TIER,205,Eshun,EVSC,484
101,Environmental Chemical Science,12-19-2024,6:00PM-8:30PM,GITC,2315A,Zhang,EVSC,610
101,Environmental Analysis,12-16-2024,6:00PM-8:30PM,TIER,205,Eshun,EVSC,612
101,Toxicology,12-18-2024,6:00PM-8:30PM,FMH,205,Warner,EVSC,616
101,Environmental Microbiology,12-17-2024,6:00PM-8:30PM,TIER,114,Li,EVSC,627
HM1,Fundamentals of Engr Design,12-17-2024,11:30AM-2:00PM,GITC,2305,Moon,FED,101
HS1,Fundamentals of Engr Design,12-21-2024,9:00AM-11:30AM,CKB,106,Jaiswal,FED,101
N41,Fundamentals of Engr Design,12-17-2024,11:30AM-2:00PM,GITC,2305,Moon,FED,101
N43,Fundamentals of Engr Design,12-17-2024,8:30AM-11:00AM,MALL,PC37,Mani,FED,101
N45,Fundamentals of Engr Design,12-17-2024,8:30AM-11:00AM,MALL,PC36,Mani,FED,101
N47,Fundamentals of Engr Design,12-17-2024,8:30AM-11:00AM,MALL,PC39,Mani,FED,101
N49,Fundamentals of Engr Design,12-17-2024,11:30AM-2:00PM,GITC,2302,Moon,FED,101
N51,Fundamentals of Engr Design,12-17-2024,11:30AM-2:00PM,GITC,2315C,Moon,FED,101
